smile,pubchem_id
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N, 017 
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5, 065 
CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[, 0Q4 
CC(C)(C)OC(=O)N[C@H](CCN[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)Cc3ccccc3, 0ZQ 
CCCCCCCCCCCCCCCC(=O)NCC(=O)O, 140 
c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O, 146 
CC1(N=C(N=C(N1c2ccc(cc2)Cl)N)N)C, 1CY 
Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O, 1UN 
c1cc(c(c(c1)Cl)CC(=O)O)Cl, 2CL 
CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C), 2NC 
c1cc(c(cc1Cl)OCC(=O)O)C(=O)NCc2ccc(cc2F)Br, 388 
c1cc(cc(c1)[N+](=O)[O-])CNC(=O)c2ccc(cc2OCC(=O)O)Cl, 393 
C([C@H](C(=O)O)O)OP(=O)(O)O, 3PG 
CC(C)C[N@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N, 478 
c1cc2c(cc1Cl)nc(s2)CN3C(=O)C=CN(C3=O)CC(=O)O, 47D 
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCc4ccc(cc4)O)O, 4CA 
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc, 4CO 
CC1=N[C@@H](CCN1)C(=O)O, 4CS 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N, 5GP 
c1ccc(cc1)c2cc(c(c(c2)Cl)O)C(=O)O, 5P3 
CC1=N[C@@H]([C@H](CN1)O)C(=O)O, 6CS 
CNC(=O)c1c2cc(c(cc2oc1c3ccc(cc3)F)N(CCO)S(=O)(=O)C)C4CC4, 79Z 
c1cc2cccc3c2c(c1)C(=O)OC3(c4ccc(c(c4)Cl)O)c5ccc(c(c5)Cl)O, A15 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N, A3P 
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C, AB1 
[B-](CCCC[C@@H](C(=O)O)N)(O)(O)O, ABH 
Ligand broken in structure, ACE 
CC(=O)OCC[N+](C)(C)C, ACH 
CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O, ACO 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N, ADP 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N, AGS 
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H]([C@H]([C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)NC(=O)N(C)Cc3ccccn3)O)O)NC(=O)N(C)Cc4ccccn4, AI 
c1cc2cccc3c2c(c1)C(=O)N(C3=O)CC(=O)O, ALR 
CN(C)C1=N[C@@H]2[C@H]([C@@H]([C@H]([C@@H]2O1)CO)O)O, AMI 
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N, AMP 
Cc1c(c(no1)O)C[C@@H](C(=O)O)N, AMQ 
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)OP(=O)(O)O)[NH2+]CNC2N, APX 
C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N, ARG 
CC(=O)SCC[N+](C)(C)C, AT3 
